Client,Lobbyist,Lobbyist_Firm,Client_Phone,Client_Address,Client_Address_2,Client_City,Client_State,Client_Zip,Client_Location
San Francisco Association Of Realtors,"Cheng, Jay",San Francisco Association Of Realtors,415-431-8500,301 GROVE STREET,,SAN FRANCISCO,CA,94102,
"Layer, Inc.","Junius, Andrew","Reuben, Junius & Rose, Llp",4155679000,470 Alabama Street,,San Francisco,CA,94110,
"Dufry North America, Llc","Gruwell, Chris",Platinum Advisors,(201) 460-8747,ONE MEADOWLANDS PLAZA,,EAST RUTHERFORD,NJ,07073,
Nick Podell Company,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 296-8800,100 DRUMM STREET,,SAN FRANCISCO,CA,94111,
Koret Family House,"Gruwell, Chris S.",New Deal Advisers,(415) 476-8321,50 IRVING STREET,,SAN FRANCISCO,CA,94122,
Common Living Inc.,"Peterson, Rich H.",Lighthouse Public Affairs,(310) 804-7161,335 MADISON AVE. 2ND FLOOR,,NEW YORK,NY,10017,
"Rrti, Inc.","Loper, Mark","Reuben, Junius & Rose, Llp",415-332-9242,14 Sunshine Avenue,,Sausilito,CA,94965,
California Beer & Beverage Distributors Assocaition,"Mogi, Viva",Platinum Advisors,916-441-5402,"1415 L STREET, SUITE 890",,SACRAMENTO,CA,95814,
Caltrain,"Tourk, Alex",Ground Floor Public Affairs,650.508.6200,2121 S. El Camino Real,,San Mateo,CA,94403,
First Republic Bank,"Piccini, Jacqueline",Platinum Advisors,(415) 392-1400,111 PINE STREET,,SAN FRANCISCO,CA,94111,
Stewart Enterprises/neptune Society Of No. California,"Noto, Frank",Gca Strategies,925-285-7133,1855 Olympic Blvd. Suite 110,,Walnut Creek,CA,94596,
40 Bernal Heights Boulevard,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(415) 732-7700,40 BERNAL HEIGHTS BOULEVARD,,SAN FRANCISCO,CA,94110,
The Drc Group,"Jones, Dwayne",Platinum Advisors,251-343-6560,740 MUSEUM DRIVE,,MOBILE,AL,36608,
Kpmg Llp,"Rose, Nancy",Kpmg Llp,(415) 963-5193,"55 Second Street, Suite 1400",,San Francisco,CA,94105,
Shn,"Gruwell, Chris",Platinum Advisors,888-746-1799,"1182 MARKET STREET, SUITE 200",,SAN FRANCISCO,CA,94102,
"Urban Realty Co., Inc.","Clemens, Alex",Barbary Coast Consulting,(415) 814-8000,346 Bush Street,,San Francisco,CA,94104,
Personal Protective Services,"Young, Marcus",Young And Associates,650-344-3302,P.O. Box 4188,,Burlingame,CA,94011,
Au Energy,"Peterson, Rich H.",Lighthouse Public Affairs,(510) 270-3410,41805 ALBRAE STREET,,FREMONT,CA,94538,
Lennar Residential,"Piccini, Jacqueline",Platinum Advisors,415-975-4982,"100 PINE STREET, SUITE 2260",,SAN FRANCISCO,CA,94111,
"Wine Meet Cheese, Dba Shindig","Goodyear, Charles","Goodyear Peterson Hayward & Associates, Llc",(415) 305-3819,403 IRVING STREET,,SAN FRANCISCO,CA,94122,
Mechanics Institute,"Dorsey, Matt",Lighthouse Public Affairs,(415) 393-0101,57 POST STREET,,SAN FRANCISCO,CA,94104,
Recology,"Potashner, Eric",Platinum Advisors,415-330-1400,501 TUNNEL AVENUE,,SAN FRANCISCO,CA,94134,
San Francisco Giants,"Knorpp, Jon",San Francisco Giants,4158845500,24 Willie Mays Plaza,,San Francisco,CA,94107,
"Airbnb, Inc.","Hannan, Patrick",Airbnb,415-662-3254,888 Brannan St,,San Francisco,CA,94103,
"Hhr Powell Street, L.p.","Reuben, James","Reuben, Junius & Rose, Llp",240-744-5166,6903 Rockledge Drive,,Bethesda,MD,20817,
98 Pennsylvania Ave,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 364-0000,40 BERNAL HEIGHTS,,SAN FRANCISCO,CA,94110,
Linda Huang,"Silverman, David","Reuben, Junius & Rose, Llp",415-291-7063,P.O. Box 12577,,San Francisco,CA,94112,
Black & Veatch,"Kirk, Laura",Platinum Advisors,415-693-9552,650 CALIFORNIA STREET,,SAN FRANCISCO,CA,94108,
331 Pennsylvania Avenue,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 364-0000,331 PENNSYLVANIA AVENUE,,SAN FRANCISCO,CA,94107,
Tishman Speyer,"Gruwell, Chris S.",New Deal Advisers,(925) 551-8127,4140 DUBLIN BOULEVARD,,DUBLIN,CA,94568,
Ncphs,"Vettel, Steve",Farella Braun And Martel,(412) 202-7800,1525 Post Street,,San Francisco,CA,94109,
Arcadis,"Noyola, David G.",Noyola Piccini Group,(415) 374-2744,100 MONTGOMERY STREET # 300,,SAN FRANCISCO,CA,94104,
Glaze Teriyaki,"Garland, Marsha",Marsha Garland Public Relations,206-617-5737,1946 Fillmore Street,,San Francisco,CA,94115,
Psp Construction,"Kevlin, John","Reuben, Junius & Rose, Llp",415-202-0610,1469 Pacific Ave.,,San Francisco,CA,94109,
Dennis Ring,"Junius, Andrew","Reuben, Junius & Rose, Llp",4152985133,PO Box 460765,,San Francisco,CA,94146,
Atkins,"Potashner, Eric",Platinum Advisors,916-553-3244,"1200 SECOND STREET, SUITE 200",,SACRAMENTO,CA,95814,
Nick Podell Inc.,"Gruwell, Chris",Platinum Advisors,650-581-6600,"1201 HOWARD AVENUE, SUITE 201",,BURLINGAME,CA,94010,
"Rsaa, Llc","Reuben, James","Reuben, Junius & Rose, Llp",415-567-9000,323 Cumberland Street,,San Francisco,CA,94114,
Parkmerced Investors Llc,"Polacci, Bert",Public Advocacy Partners,415-584-4149,3711 19th Ave,,San Francisco,CA,94132,
Hot Pot City,"Garland, Marsha",Marsha Garland Public Relations,510-386-6395,"1445 Koll Circle, Suite 103",,San Jose,CA,95012,
Market Street Place,"Peterson, Rich H.",Lighthouse Public Affairs,(214) 561-8800,"8343 DOUGLAS AVENUE, SUITE 200",,DALLAS,TX,75225,
Eiv Capital,"Szlakowski, Julia",Julia Szlakowski,7133532755,Two Shell Plaza,,Houston,TX,77002,
Sf Spca,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 554-3000,243 ALABAMA STREET,,SAN FRANCISCO,CA,94103,
"Rescue Air, Inc.","Grijalva, Ruben",Firechiefs.com,650-654-6000,751 Laurel Street,,San Carlos,CA,94070,
Mark Cavagnero Associates,"Potashner, Eric",Platinum Advisors,(415) 398-6944,1045 SANSOME STREET,,SAN FRANCISCO,CA,94111,
Sisters Of The Fraternite Notre Dame,"Dorsey, Matt",Lighthouse Public Affairs,(773) 261-0101,502 NORTH CENTRAL AVENUE,,CHICAGO,IL,60644,
Teamsters Local 853,"Piccini, Jacqueline",Platinum Advisors,510-895-8853,2100 MERCED STREET,,SAN LEANDRO,CA,94577,
"Urban Realty Co., Inc.","Smolens, H. Marcia",Hms Associates,415-981-8885,364 Bush Street,,San Francisco,CA,94104,
California Beer & Beverage Distributors Association,"Piccini, Jacqueline",Platinum Advisors,916-441-5402,"1415 L STREET, SUITE 890",,SACRAMENTO,CA,95814,
Robert Harms,"Gladstone, Brett",Hanson Bridgett Llp,(415) 899-1590,Ares Commercial Properties,,Novato,CA,94545,
Little Vine,"Cassolato, Stefano",Sgc Strategic Communications,415-738-2221,1541 Grant Avenue,,San Francisco,CA,94133,
Jewish Home,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 469-2249,302 SILVER AVENUE,,SAN FRANCISCO,CA,94112,
Supershuttle,"Noyola, David G.",Noyola Piccini Group,(888) 888-6025,"14500 NORTH NORTHSIGHT, SUITE 329",,SCOTTSDALE,AZ,85260,
1095 Market Street Holding Llc,"Smiley, Libby",Barbary Coast Consulting,415-248-0300,600 Montgomery Street,,San Francisco,CA,94111,
International School Of Pizza,"Gladstone, Brett",Hanson Bridgett Llp,(415) 835-9888,c/o Bruno DiFabio,,San Francisco,CA,94133,
Trumark Insurance & Financial,"Gruwell, Chris",Platinum Advisors,925-648-4700,4185 BLACKHAWK PLAZA CIRCLE,,DANVILLE,CA,94506,
"Uniqlo/fast Retailing Usa, Inc.","Goodyear, Charles","Goodyear Peterson Hayward & Associates, Llc",(877) 486-4756,"450 WEST 14TH STREET, 7TH FLOOR",,NEW YORK,NY,10014,
Panoramic Interests,"Frattin, Daniel","Reuben, Junius & Rose, Llp",5108831000X300,2116 Allston Way,,Berkeley,CA,94704,
Sisters Of The Fraternite Notre Dame,"Bell, Veronica N.",Lighthouse Public Affairs,(773) 261-0101,502 NORTH CENTRAL AVENUE,,CHICAGO,IL,60644,
Richard Miller,"Gladstone, Brett",Hanson Bridgett Llp,(917) 207-4233,50 Vulcan Stairway,,San Francisco,CA,94114,
Zipcar,"Mogi, Viva",Platinum Advisors,(415) 495-7478,191 2ND STREET,,SAN FRANCISCO,CA,94107,
Tanguy Bonduel,"Lesser, Philip",Philip Lesser,689 50 60 28,BP 4489,Tahiti-Polynesie Francase,San Mateo,CA,94401,
Target Corporation,"Bell, Veronica","Goodyear Peterson Hayward & Associates, Llc",(612) 304-6073,1000 NICOLLET MALL,,MINNEAPOLIS,MN,55403,
Recology,"Piccini, Jacqueline",Noyola Piccini Group,4158751000,"50 CALIFORNIA STREET, 24TH FLOOR",,SAN FRANCISCO,CA,94111,
Ch2m-Hill,"Crowley, Coleen",Platinum Advisors,510-251-2426,"155 GRAND AVENUE, SUITE 1000",,OAKLAND,CA,94612,
Emerson Process Management,"Piccini, Jacqueline",Noyola Piccini Group,(925) 226-0261,7150 KOLL CENTER PARKWAY,,PLEASANTON,CA,94566,
Collier International,"Junius, Andrew","Reuben, Junius & Rose, Llp",415-867-1178,"101 2nd St., 11th Fl.",,San Francisco,CA,94105,
101 Maple Street,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(650) 357-1400,101 MAPLE STREET,,SAN FRANCISCO,CA,94118,
Stanley's Steamers,"Piccini, Jacqueline",Platinum Advisors,415-974-3600,125 STILLMAN STREET,,SAN FRANCISCO,CA,94107,
"A Jasp, Llc.","Messersmith, Eric J.",Eric J. Messersmith,(415) 559 3245,493 Broadway,,San Francisco,CA,94133,
At&t California,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(415) 778-1250,"525 MARKET STREET, ROOM 1946",,SAN FRANCISCO,CA,94105,
Nixon Peabody Llp,"Frattin, Daniel","Reuben, Junius & Rose, Llp",4159848200,"c/o Wu Chen, CEO","3 Embarcadero Center, 29th Floor",San Francisco,CA,94111,
American Airporter Shuttle,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 202-0733,819 ELLIS STREET,,SAN FRANCISCO,CA,94109,
Trust For Children Of Henry Wong,"Frattin, Daniel","Reuben, Junius & Rose, Llp",4158127233,"c/o Henry Wong, Yaleen Company",,Mountain View,CA,94039,
Mark Denton And Joseph Sun,"Knight, Jody","Reuben, Junius & Rose, Llp",4155679000,1495 25th Avenue,,San Francisco,CA,94122,
"Shorenstein Company, Llc","Gladstone, Brett",Hanson Bridgett Llp,(415) 772-7147,235 Montgomery Street,,San Francisco,CA,94104,
"Lcl Global - 1028 Market Street, Llc","Piccini, Jacqueline",Platinum Advisors,4157327700,25 TAYLOR STREET,,SAN FRANCISCO,CA,94102,
Sks Investments,"Lapointe, Denise",Lapointe And Associates,415-421-8200,"601 California St., Suite1310",,San Francisco,CA,94108,
Veolia Water North America,"Potashner, Eric",Platinum Advisors,650-342-3727,1103 AIRPORT BOULEVARD,,BURLINGAME,CA,94010,
Sills Family Foundation,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,"1 BUSH STREET, #600",,SAN FRANCISCO,CA,94104,
Coda Automotive,"Smiley, Libby",Barbary Coast Consulting,310-260-4512,820 Broadway,,Santa Monica,CA,90401,
Gemdale Usa Corporation,"Frattin, Daniel","Reuben, Junius & Rose, Llp",4159817878,c/o Lincoln Property Co,,San Francisco,CA,94104,
Shaw Group,"Gruwell, Chris",Platinum Advisors,949-660-5486,"3347 MICHELSON DRIVE, SUITE 200",,IRVINE,CA,92612,
Grosvenor Americas,"Berg, Jessica",Bergdavis Public Affairs,(415)434-0175,1 California Street,,San Francisco,CA,94111,
"Tks Wireless, Inc.","Lesser, Philip",Philip Lesser,(916) 821-3775,400 Hester Street,,San Leandro,CA,94577,
Biscuits & Blues,"Cassolato, Stefano",Sgc Strategic Communications,931-6012,401 Mason Street,,San Francisco,CA,94102,
Webcor Builders,"Crowley, Coleen",Platinum Advisors,650-349-2727,"951 MARINERS ISLAND BOULEVARD, 7TH FLOOR",,SAN MATEO,CA,94404,
Wasserman Media Group,"Gruwell, Chris",Platinum Advisors,310-882-4475,"10960 WILSHIRE BLVD, SUITE 2200",,LOS ANGELES,CA,90024,
Cisco,"Hayward, A. Boe",Lighthouse Public Affairs,(408) 853-9985,170 WEST TASMAN DRIVE,,SAN JOSE,CA,95134,
San Francisco Giants,"Weld, Frances W.",San Francisco Giants,4158845500,24 Willie Mays Plaza,,San Francisco,CA,94107,
Ron Fiore,"Gladstone, Brett",Hanson Bridgett Llp,PENDING,"1528 S. EL CAMINO REAL, SUITE 307",,SAN MATEO,CA,94402,
Iron.io,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(888) 939-4623,288 7TH STREET,,SAN FRANCISCO,CA,94103,
Presidio Bay Ventures,"Polacci, Bert",Public Advocacy Partners,510-590-8456,185 Berry Street,,San Francisco,CA,94107,
Whole Foods Market,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(510) 428-7400,"5980 HORTON STREET, SUITE 200",,EMERYVILLE,CA,94608,
Patrick And Norma Mulligan,"Gladstone, Brett",Hanson Bridgett Llp,415-995-5065,"1770 Lombard St., Ste. B",,San Francisco,CA,94123,
Integral,"Jordan, K. Taylor",Lighthouse Public Affairs,(404) 224-1860,"191 PEACHTREE STREET, NE SUITE 4100",,ATLANTA,GA,30303,
Daniel Rabin,"Silverman, David","Reuben, Junius & Rose, Llp",415-522-5700,Rabin Management Company,,San Francisco,CA,94104,
"Becker Boards Small, Llc","Piccini, Jacqueline",Platinum Advisors,480-370-7740,"4350 EAST CAMELBACK RD, SUITE B-195",,PHOENIX,AZ,85018,
Sf Armory,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 364-0000,1800 MISSION STREET,,SAN FRANCISCO,CA,94103,
Microsoft Corporation,"Nilsson, Thea",Microsoft Corporation,4153896800,2350 Kerner Blvd.,,San Rafael,CA,94901,
Strada Investment Group,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(415) 263-9150,"100 SPEAR STREET, SUITE 2080",,SAN FRANCISCO,CA,94105,
Hntb,"Mecke, Quintin",Barbary Coast Consulting,(510) 208-4599,"1111 Broadway, Ninth Floor",,Oakland,CA,95607,
Nob Hill Coalition,"Potashner, Eric",Platinum Advisors,415-267-4170,1177 CALIFORNIA STREET,,SAN FRANCISCO,CA,94108,
Golden Bridges School,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 912-8666,3358 22ND STREET,,SAN FRANCISCO,CA,94110,
Waste Management,"Young, Marcus",Young And Associates,510-613-2142,172 98th Ave,,Oakland,CA,94603,
Gca Strategies,"Garland, Marsha",Marsha Garland Public Relations,415-834-5645,15 Quintara Street,,San Francisco,CA,94116,
Charles Darke,"Gladstone, Brett",Hanson Bridgett Llp,415 668-8005,7008 E. Columbus Drive,,Anaheim Hills,CA,92807,
"Dufry North America, Llc","Piccini, Jacqueline",Platinum Advisors,2014608747,ONE MEADOWLANDS PLAZA,,EAST RUTHERFORD,NJ,07073,
Audi,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 241-8159,280 SOUTH VAN NESS AVENUE,,SAN FRANCISCO,CA,94103,
David Scott Nale (Trustee),"Vancrum, Melissa",Hanson Bridgett Llp,415-365-3496,126 Fillmore Street,,San Francisco,CA,94117,
Colosseo Restaurant,"Garland, Marsha",Marsha Garland Public Relations,707-315-5828,414 Columbus Avenue,,San Francisco,CA,94133,
Morgan Stanley Investment Management Inc.,"Olson, Daniel",Morgan Stanley Investment Management Inc.,(212) 296-7601,522 5th Avenue,,New York,NY,10036,
Ubs Asset Management (Americas) Inc.,"Monroe, Tracey",Tracey Monroe,202-371-7559,1440 New York Ave NW,,Washington,DC,20005,
Clear Channel Airports,"Owen, David",Platinum Advisors,310-782-2005,19320 HARBORGATE WAY,,TORRANCE,CA,90501,
Castro Greens,"Garland, Marsha",Marsha Garland Public Relations,863-5250,2323 Market Street,,San Francisco,CA,94114,
Kilroy Realty Corporation,"Frattin, Daniel","Reuben, Junius & Rose, Llp",415-778-7752,100 First Street,,San Francisco,CA,94105,
Au Energy,"Guehring, Ross E.",Lighthouse Public Affairs,(510) 270-3410,243 ALABAMA STREET,,FREMONT,CA,94538,
Nick Podell Inc.,"Noyola, David",Platinum Advisors,650-581-6600,"1201 HOWARD AVENUE, SUITE 201",,BURLINGAME,CA,94010,
Insinkerator,"Crowley, Coleen",Platinum Advisors,262-554-3532,4700 21ST STREET,,RACINE,WI,53406,
Recology,"Kirk, Laura",Platinum Advisors,415-330-1400,501 TUNNEL AVENUE,,SAN FRANCISCO,CA,94134,
Nob Hill Coalition,"Jones, Dwayne",Platinum Advisors,(415) 267-4170,1177 CALIFORNIA STREET,,SAN FRANCISCO,CA,94108,
Facebook,"Clemens, Alexander",Lighthouse Public Affairs,(650) 543-4800,1 HACKER WAY,,MENLO PARK,CA,94025,
"Cornerstone Consulting & Technology, Inc.","Gregg, Andrew",Self,(415) 705-7800,44 Montgomery Street,,San Francisco,CA,94102,
495 Cambridge Street,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 661-7941,495 CAMBRIDGE STREET,,SAN FRANCISCO,CA,94134,
Ubs Securities Llc,"Chin, Allison",Ubs Securities Llc,202-371-7559,1440 New York Ave NW,,Washington,DC,20005,
Harris Corporation,"Loeven, Lewis",Loeven And Associates Llc,650-454-4619,1011 Pawtucket Blvd.,,"Lowell,",MA,01854,
Amec,"Jones, Dwayne",Platinum Advisors,510-663-4100,"2101 WEBSTER STREET, 12TH Floor",,OAKLAND,CA,94612,
Black And Veatch,"Gruwell, Chris S.",New Deal Advisers,4157327700,"800 WILSHIRE BOULEVARD, SUITE 600",,LOS ANGELES,CA,90017,
Cisco,"Bell, Veronica N.",Lighthouse Public Affairs,(408) 853-9985,170 WEST TASMAN DRIVE,,SAN JOSE,CA,95134,
331 Pennsylvania Avenue,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 364-0000,331 PENNSYLVANIA AVENUE,,SAN FRANCISCO,CA,94107,
Sf Armory,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,1800 MISSION STREET,,SAN FRANCISCO,CA,94103,
Victory Automotive Group,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 364-0000,"46352 MICHIGAN AVE, 2ND FLOOR",,CANTON,MI,48188,
Lennar Residential,"Gruwell, Chris",Platinum Advisors,415-975-4982,"100 PINE STREET, SUITE 2260",,SAN FRANCISCO,CA,94111,
1140 Folsom Llc,"Noyola, David",Platinum Advisors,415-658-0800,"PIER 1, BAY 2",,SAN FRANCISCO,CA,94111,
Jonny Li,"Silverman, David","Reuben, Junius & Rose, Llp",4152168888,109 School St.,,Daly City,CA,94104,
The Hamlin School,"Clemens, Alexander",Lighthouse Public Affairs,(415) 674-5417,2120 BROADWAY STREET,,SAN FRANCISCO,CA,94115,
Pfizer,"Crowley, Coleen",Platinum Advisors,212-773-2323,235 EAST 42ND STREET,,NEW YORK,NY,10017,
"Azura, Llc","Gregg, Andrew",Self,415 412 8648,12 Corte Del Rey,,San Rafael,CA,94903,
Boston Properties,"Brown, Willie",Willie Brown,415-772-0700,4 Embarcadero Center,,San Francisco,CA,94111-5994,
Cb&i,"Owen, David",Platinum Advisors,1-832-513-1000,ONE CB&I PLAZA,,THE WOODLANDS,TX,77380,
Bauer's Intelligent  Transportation,"Noyola, David G.",Noyola Piccini Group,(800) 546-6688,50 PIER,,SAN FRANCISCO,CA,94158,
Tidewater Capital,"Gruwell, Chris S.",New Deal Advisers,(415) 995-1100,25 TAYLOR STREET,,SAN FRANCISCO,CA,94102,
Angela Valguisti Dba Birba Wine Bar,"Catalano, Tuija","Reuben, Junius & Rose, Llp",4155497612,485 Grove Street,,San Francisco,CA,94102,
John R. Teerlink,"Gladstone, Brett",Hanson Bridgett Llp,(415) 221-4810,422 Day Street,,San Francisco,CA,94131,
Golden Bridges School,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 912-8666,3358 22ND STREET,,SAN FRANCISCO,CA,94110,
Red & White Fleet,"Bell, Veronica","Goodyear Peterson Hayward & Associates, Llc",(415) 673-2900,PIER 43 1/2,,SAN FRANCISCO,CA,94133,
Aecom,"Gruwell, Chris",Platinum Advisors,415-522-5000,"1390 MARKET STREET, SUITE 1100",,SAN FRANCISCO,CA,94102,
"Fluor Enterprises, Inc.","Gruwell, Chris",Platinum Advisors,925-307-1200,"4140 DUBLIN BOULEVARD, SUITE 300",,DUBLIN,CA,94568,
San Francisco Chamber Of Commerce,"Lazarus, Jim",San Francisco Chamber Of Commerce,4153924520,"235 Montgomery Street, Suite 760",,San Francisco,CA,94104,
Facebook,"Dorsey, Matt",Lighthouse Public Affairs,(650) 543-4800,1 HACKER WAY,,MENLO PARK,CA,94025,
Veritas Real Estate,"New, Janan",San Francisco Apt Assoc,(408) 206-6338,500 Montgomery Street,,San Francisco,CA,94104,
Clear Channel Airports,"Mogi, Viva",Platinum Advisors,310-782-2005,19320 HARBORGATE WAY,,TORRANCE,CA,90501,
Aecom,"Owen, David",Platinum Advisors,415-522-5000,"1390 MARKET STREET, SUITE 1100",,SAN FRANCISCO,CA,94102,
"4103-05 Cesar Chavez, Llc","Lesser, Philip",Philip Lesser,415 305-0081,1350 Noe Street,,San Francisco,CA,94110,
Jewish Home,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 469-2249,302 SILVER AVENUE,,SAN FRANCISCO,CA,94112,
Ips,"Owen, David",Platinum Advisors,858-404-0607,79 DEVINE STREET,,SAN DIEGO,CA,92121,
"Fraternite Notre Dame, Mary Of Nazareth House","Tunny, Thomas","Reuben, Junius & Rose, Llp",(917) 612-9180,54 Turk St.,,San Francisco,CA,94102,
Kevin Whalen,"Davis, Evette",Bergdavis Public Affairs,858 202-7843,9125 Rehco Rd,,San Diego,CA,92121,
"Genentech, Inc.","Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(650) 225-1000,1 DNA WAY,,SOUTH SAN FRANCISCO,CA,94080,
The Hamlin School,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 674-5417,2120 BROADWAY STREET,,SAN FRANCISCO,CA,94115,
Peter Drake,"Kirk, Laura",Platinum Advisors,4159783800,1750 TAYLOR STREET,,SAN FRANCISCO,CA,94133,
Demitry Margusov,"Winslow, Jane",Jane Winslow,310-770-0366,3139 Mission Street,,San Francisco,CA,94110,
San Francisco Bar Pilots,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(415) 362-0861,PIER 9 EAST END,,SAN FRANCISCO,CA,94111,
"Oceanwide Center, Llc","Frattin, Daniel","Reuben, Junius & Rose, Llp",4152438690,88 First Street,,San Francisco,CA,94105,
California College Of The Arts,"Frattin, Daniel","Reuben, Junius & Rose, Llp",5105943790,5212 Broadway,,Oakland,CA,94618,
Pacific Investment Management Llc,"Dada, Suhail",Pacific Investment Management Company Llc,949-720-6943,650 Newport Center Drive,,Newport Beach,CA,92660,
West Portal Financial Llc,"Cassolato, Stefano",Sgc Strategic Communications,415-608-4380,360 West Portal Ave.,,San Francisco,CA,94127,
Hampton Creek,"Angelis, Chloe","Reuben, Junius & Rose, Llp",415-852-1121,2000 Folsom St.,,San Francisco,CA,94110,
323 Cumberland,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 364-0000,323 CUMBERLAND STREET,,SAN FRANCISCO,CA,94114,
Nixon Peabody Llp,"Loper, Mark","Reuben, Junius & Rose, Llp",4155679000,"c/o Wu Chen, CEO","3 Embarcadero Center, 29th Floor",San Francisco,CA,94111,
"Oceanwide Center, Llc","Loper, Mark","Reuben, Junius & Rose, Llp",4152438690,88 First Street,,San Francisco,CA,94105,
"F&f Investors, Llc","Hayward, A. Boe",Lighthouse Public Affairs,(650) 520-5251,33 FALMOUTH,,SAN FRANCISCO,CA,94107,
Cresleigh Homes Corporation,"Junius, Andrew","Reuben, Junius & Rose, Llp",415-982-1218,433 California St.,,San Francisco,CA,94104,
Eps Industry Alliance,"Norris, Trenton",Arnold & Porter Llp,800-607-3772,1298 Cronson Blvd,,Crofton,MD,21114-2035,
Charles Cross,"Polacci, Bert",Public Advocacy Partners,415-567-4141,3560 Jackson Street,,San Francisco,CA,94118,
Bluemercury Store,"Hayward, A. Boe",Lighthouse Public Affairs,(301) 520-8185,"1010 WISCONSIN AVENUE NW, SUITE 700",,WASHINGTON,DC,20007,
Claudia Volpi,"Rossi, Jaime",Barbary Coast Consulting,646-431-3202,4529 25th Street,,San Francisco,CA,94114,
Cresleigh,"Berg, Jessica",Bergdavis Public Affairs,4159827777,433 California Street,,San Francisco,CA,94104,
San Francisco Gold Buyer,"Goodyear, Charles","Goodyear Peterson Hayward & Associates, Llc",(415) 566-1111,255 WEST PORTAL AVE.,,SAN FRANCISCO,CA,94127,
Walgreens,"Smiley, Libby",Barbary Coast Consulting,847-315-4863,104 Wilmot Road,,Deerfield,IL,60015,
Sparc,"Gruwell, Chris",Platinum Advisors,415-252-7727,1256 MISSION STREET,,SAN FRANCISCO,CA,94114,
Sills Family Foundation,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 364-0000,"1 BUSH STREET, #600",,SAN FRANCISCO,CA,94104,
"Oberndorf Enterprises, Llc","Reuben, James","Reuben, Junius & Rose, Llp",415-500-6900,615 Front St.,,San Francisco,CA,94111,
Udr,"Junius, Andrew","Reuben, Junius & Rose, Llp",7203487605,1745 Shea Center Drive,,Highlands Ranch,CO,80129,
"Avalon Bay Communities, Inc.","Junius, Andrew","Reuben, Junius & Rose, Llp",415-284-9087,"455 Market St., Ste. 1650",,San Francisco,CA,94105,
United Food And Commercial Workers International,"Gruwell, Chris",Platinum Advisors,206-575-211,"1775 K STREET, NW",,WASHINGTON,DC,20006,
"200 Paul, Llc","Gregg, Andrew",Self,(415) 738-6500,Four Embarcadro,,San Francisco,CA,94111,
Go Lorrie's Airport Shuttle,"Smolens, H. Marcia",Hms Associates,415-334-9000,444B,,San Bruno,CA,94066,
Hearst Corporation,"Gruwell, Chris",Platinum Advisors,(415) 777-8196,"5 THIRD STREET, SUITE 200",,SAN FRANCISCO,CA,94103,
One Sansome Street Property,"Clemens, Alexander",Lighthouse Public Affairs,(415) 364-0000,"ONE SANSOME STREET, SUITE 205",,SAN FRANCISCO,CA,94104,
101 Maple Street,"Bell, Veronica","Goodyear Peterson Hayward & Associates, Llc",(650) 357-1400,101 MAPLE STREET,,SAN FRANCISCO,CA,94118,
Stanley Steamer,"Owen, David",Platinum Advisors,415-974-3600,125 STILLMAN STREET,,SAN FRANCISCO,CA,94107,
Beer Institute,"Noyola, David",Platinum Advisors,202-737-2337,"122 C STREET NW, SUITE 350",,WASHINGTON,DC,20001,
Boston Properties Limited Partnership,"Jones, Dwayne",Platinum Advisors,415-772-0701,"FOUR EMBARCADERO CENTER, SUITE 1",,SAN FRANCISCO,CA,94111,
"Sustainable Living, Llc","Knight, Jody","Reuben, Junius & Rose, Llp",4155679000,1592 Union Street,,San Francisco,CA,94123,
Riverbed Technology Inc,"Mosher, Mark","Bmwl & Partners, Inc",415- 247-8800,199 Fremont St,,San Francisco,CA,94105,
Ufcw Western States Superfund,"Mogi, Viva",Platinum Advisors,(206) 575-2211,"1775 K STREET, NW",,WASHINGTON,DC,20006,
"Lcl Global - 1028 Market Street, Llc","Gruwell, Chris S.",New Deal Advisers,4157327700,25 TAYLOR STREET,,SAN FRANCISCO,CA,94102,
